Sequence_Name,Label,Probability
ID=sp|C0HL35||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q8WI05||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q5HPK7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|C0HK28||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.980
ID=sp|Q3E789||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0CU56||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.660
ID=sp|A1X8D6||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P62187||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.220
ID=sp|Q3M4N7||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P0DM13||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.950
ID=DRAVPe00452|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.710
ID=HIP693|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.975
ID=sp|B0M3E0||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.885
ID=sp|P44015||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P84964||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,AVP,0.820
ID=sp|A8YTR0||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P81555||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.450
ID=sp|B2J8Q3||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|C0HK83||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.990
ID=sp|P0DMW2||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P85060||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.960
ID=sp|P41608||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P60209||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.600
ID=sp|Q9CQD6||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.090
ID=HIP283|Label=1|Type=AVP|Source=HIPdb|Length=15|Dataset=TS_AVP,AVP,0.870
ID=sp|O78465||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.015
ID=44018|Label=1|Type=AVP|Source=Peptipedia|Length=33|Dataset=TS_AVP,AVP,0.925
ID=HIP981|Label=1|Type=AVP|Source=HIPdb|Length=18|Dataset=TS_AVP,AVP,0.935
ID=sp|P84112||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P84337||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.285
ID=DRAVPe01803|Label=1|Type=AVP|Source=DRAVP|Length=16|Dataset=TS_AVP,AVP,0.940
ID=sp|P0DQO2||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.965
ID=sp|Q8M9Y5||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P85325||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.235
ID=sp|P42716||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.965
ID=sp|Q71LB9||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.025
ID=DRAVPe01948|Label=1|Type=AVP|Source=DRAVP|Length=19|Dataset=TS_AVP,AVP,1.000
ID=sp|P84341||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|P0C009||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P13269||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.625
ID=sp|C0HJQ7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.990
ID=sp|P60057||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P85040||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,AVP,0.725
ID=sp|P0C2K8||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.770
ID=sp|P0DMA3||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.315
ID=sp|Q4VZJ9||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.010
ID=DRAVPe00377|Label=1|Type=AVP|Source=DRAVP|Length=13|Dataset=TS_AVP,AVP,0.710
ID=sp|Q2JLE7||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|B7KHU9||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q8HS09||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P83605||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,AVP,0.690
ID=sp|P30396||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P0DM37||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P0DSN5||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|P11760||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.935
ID=sp|P48106||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q65HN7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B3EWM6||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.495
ID=sp|P0DRE7||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.830
ID=sp|P41872||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.605
ID=sp|P82304||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P0DTU2||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.200
ID=sp|Q7Z0A4||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.970
ID=sp|Q4L6Q1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P64512||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|C0HM31||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.905
ID=sp|Q7V2E0||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.010
ID=CAMPSQ21265|Label=1|Type=AVP|Source=CAMP|Length=7|Dataset=TS_AVP,AVP,0.800
ID=sp|P85843||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.080
ID=DRAVPe00684|Label=1|Type=AVP|Source=DRAVP|Length=26|Dataset=TS_AVP,AVP,0.995
ID=sp|B2IDV3||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q4A749||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A9C021||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.245
ID=sp|P83306||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.940
ID=sp|P80464||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|P86811||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,non-AVP,0.465
ID=sp|P85165||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.800
ID=sp|B3A0N0||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q06GR6||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P68353||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|B7K624||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P42706||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|P85899||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,non-AVP,0.125
ID=sp|Q8DSZ3||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P83952||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,AVP,0.785
ID=CAMPSQ12310|Label=1|Type=AVP|Source=CAMP|Length=36|Dataset=TS_AVP,AVP,0.935
ID=sp|P33789||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.810
ID=41834|Label=1|Type=AVP|Source=Peptipedia|Length=5|Dataset=TS_AVP,AVP,0.985
ID=sp|A0A0B7P221||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P69143||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.760
ID=HIP963|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,0.990
ID=sp|Q68WC9||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|C0HKI9||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P84694||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.735
ID=sp|O83662||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.255
ID=sp|P85953||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.230
ID=sp|A6YR36||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.945
ID=sp|P0DUW8||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.460
ID=sp|P85412||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.305
ID=sp|Q5K3S0||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.005
ID=DRAVPe00435|Label=1|Type=AVP|Source=DRAVP|Length=40|Dataset=TS_AVP,AVP,0.970
ID=5815|Label=1|Type=AVP|Source=Peptipedia|Length=31|Dataset=TS_AVP,AVP,0.855
ID=sp|A0A4V8GZX0||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,0.865
ID=7336|Label=1|Type=AVP|Source=Peptipedia|Length=46|Dataset=TS_AVP,non-AVP,0.155
ID=sp|B0TC81||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=DRAVPe00160|Label=1|Type=AVP|Source=DRAVP|Length=20|Dataset=TS_AVP,AVP,0.995
ID=sp|P0DJ30||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P85898||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.275
ID=sp|P35586||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.165
ID=sp|C4KZZ4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|A8W7N0||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P80825||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.660
ID=sp|C0HKK7||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.395
ID=sp|Q5NN40||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P85548||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.550
ID=sp|P83725||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.830
ID=sp|Q8TGQ9||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.470
ID=CAMPSQ21433|Label=1|Type=AVP|Source=CAMP|Length=8|Dataset=TS_AVP,AVP,0.555
ID=sp|O29184||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|P56324||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A9IXD6||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q3AG61||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HKA9||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.755
ID=sp|P20655||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P46980||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|D6C4J2||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.990
ID=DRAVPe01698|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,non-AVP,0.485
ID=sp|Q6W630||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P02987||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|A6LLN7||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.005
ID=HIP701|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.575
ID=sp|P0DUH0||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P0DP94||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.800
ID=DRAVPe01913|Label=1|Type=AVP|Source=DRAVP|Length=11|Dataset=TS_AVP,non-AVP,0.470
ID=41102|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.760
ID=sp|P86640||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DKH9||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B3KYH4||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|Q06SF1||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.030
ID=DRAVPe01690|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.760
ID=sp|Q3AMZ4||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0DUH1||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.020
ID=DRAVPe01704|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,non-AVP,0.265
ID=sp|Q9XPS5||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P84666||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,non-AVP,0.445
ID=sp|P82685||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.980
ID=sp|A0A023IWE1||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.090
ID=6535|Label=1|Type=AVP|Source=Peptipedia|Length=37|Dataset=TS_AVP,AVP,0.835
ID=sp|P62542||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.370
ID=sp|P0DX65||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.915
ID=sp|Q65J28||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0C8X7||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.995
ID=sp|Q85FX8||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.015
ID=AVP1822|Label=1|Type=AVP|Source=AVPdb|Length=6|Dataset=TS_AVP,AVP,0.985
ID=sp|P86295||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,non-AVP,0.170
ID=sp|P0DJF1||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.540
ID=sp|P60233||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.900
ID=sp|C0HLP3||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P69092||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.900
ID=sp|Q2JQR6||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|O78512||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|A4F7S4||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.065
ID=HIP111|Label=1|Type=AVP|Source=HIPdb|Length=7|Dataset=TS_AVP,AVP,0.850
ID=sp|P82296||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|P35095||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|A3PBJ1||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=41055|Label=1|Type=AVP|Source=Peptipedia|Length=36|Dataset=TS_AVP,AVP,1.000
ID=14500|Label=1|Type=AVP|Source=Peptipedia|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|P85492||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.230
ID=DRAVPe00828|Label=1|Type=AVP|Source=DRAVP|Length=15|Dataset=TS_AVP,AVP,0.955
ID=sp|P58845||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.975
ID=DRAMP04503|Label=1|Type=AVP|Source=DRAMP|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|P12818||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.815
ID=sp|P32185||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P0DQQ5||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.750
ID=sp|Q7M458||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,non-AVP,0.145
ID=sp|Q32RW2||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P37305||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|Q5PHE1||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P81925||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.065
ID=41076|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.705
ID=sp|P82101||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.800
ID=sp|P49839||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.110
ID=sp|P81463||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.890
ID=sp|P85456||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.835
ID=sp|C0HLP0||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P84005||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.880
ID=sp|Q7M485||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P17236||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P84000||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.935
ID=sp|P0DP12||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.800
ID=sp|P03063||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|Q8TGJ4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.120
ID=28604|Label=1|Type=AVP|Source=Peptipedia|Length=9|Dataset=TS_AVP,AVP,0.565
ID=sp|P83087||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P36414||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.515
ID=sp|P02732||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.920
ID=sp|P0DQQ6||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,0.995
ID=39816|Label=1|Type=AVP|Source=Peptipedia|Length=21|Dataset=TS_AVP,non-AVP,0.325
ID=sp|O94484||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DMV6||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.835
ID=sp|P12509||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|Q7LZ09||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.235
ID=sp|C0HK10||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.990
ID=sp|B2GEU7||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|B6IPG6||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|B4MJN5||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q8TGV0||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.245
ID=sp|P81862||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.155
ID=44143|Label=1|Type=AVP|Source=Peptipedia|Length=12|Dataset=TS_AVP,AVP,0.695
ID=sp|A0KJJ0||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0A403||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P82440||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.175
ID=sp|P80525||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.480
ID=sp|P85348||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P40765||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.050
ID=DRAVPe00775|Label=1|Type=AVP|Source=DRAVP|Length=13|Dataset=TS_AVP,AVP,0.970
ID=sp|Q8WI01||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P83350||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.640
ID=sp|C0HK05||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.170
ID=sp|A4ZUC7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P24124||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P48109||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A5GR11||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|B1MGA3||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P83216||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.735
ID=sp|P0DSM5||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P74149||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|C0HL10||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.785
